Station,Date(NZST),Time(NZST),Pmsl(hPa),Pstn(hPa)
26381,1/01/2020,0:00,1009.3,984.6
26381,1/01/2020,1:00,1009.5,984.8
26381,1/01/2020,2:00,1009.3,984.5
26381,1/01/2020,3:00,1008.9,984.2
26381,1/01/2020,4:00,1008.4,983.7
26381,1/01/2020,5:00,1009.2,984.2
26381,1/01/2020,6:00,1010.2,985.0
26381,1/01/2020,7:00,1009.7,984.7
26381,1/01/2020,8:00,1010.0,984.8
26381,1/01/2020,9:00,1009.8,984.7
26381,1/01/2020,10:00,1010.1,985.1
26381,1/01/2020,11:00,1009.6,984.9
26381,1/01/2020,12:00,1010.2,985.5
26381,1/01/2020,13:00,1009.5,984.9
26381,1/01/2020,14:00,1009.4,984.8
26381,1/01/2020,15:00,1009.9,985.2
26381,1/01/2020,16:00,1010.7,985.8
26381,1/01/2020,17:00,1011.7,986.6
26381,1/01/2020,18:00,1011.7,986.6
26381,1/01/2020,19:00,1011.3,986.2
26381,1/01/2020,20:00,1011.2,986.1
26381,1/01/2020,21:00,1011.4,986.2
26381,1/01/2020,22:00,1011.3,986.1
26381,1/01/2020,23:00,1010.5,985.4
26381,2/01/2020,0:00,1010.8,985.6
26381,2/01/2020,1:00,1009.2,984.0
26381,2/01/2020,2:00,1007.9,982.7
26381,2/01/2020,3:00,1008.5,983.3
26381,2/01/2020,4:00,1007.8,982.7
26381,2/01/2020,5:00,1008.0,982.8
26381,2/01/2020,6:00,1007.8,982.6
26381,2/01/2020,7:00,1007.5,982.4
26381,2/01/2020,8:00,1007.8,982.7
26381,2/01/2020,9:00,1008.0,982.8
26381,2/01/2020,10:00,1007.3,982.2
26381,2/01/2020,11:00,1006.5,981.6
26381,2/01/2020,12:00,1005.9,981.1
26381,2/01/2020,13:00,1004.9,980.3
26381,2/01/2020,14:00,1004.0,979.5
26381,2/01/2020,15:00,1003.1,978.7
26381,2/01/2020,16:00,1002.6,978.2
26381,2/01/2020,17:00,1002.2,977.7
26381,2/01/2020,18:00,1002.4,977.8
26381,2/01/2020,19:00,1003.1,978.3
26381,2/01/2020,20:00,1003.7,978.8
26381,2/01/2020,21:00,1004.3,979.3
26381,2/01/2020,22:00,1004.4,979.3
26381,2/01/2020,23:00,1004.3,979.2
26381,3/01/2020,0:00,1004.1,978.9
26381,3/01/2020,1:00,1003.6,978.3
26381,3/01/2020,2:00,1003.7,978.1
26381,3/01/2020,3:00,1003.3,977.7
26381,3/01/2020,4:00,1003.0,977.6
26381,3/01/2020,5:00,1003.3,977.8
26381,3/01/2020,6:00,1003.1,978.0
26381,3/01/2020,7:00,1002.9,978.0
26381,3/01/2020,8:00,1003.5,978.6
26381,3/01/2020,9:00,1003.7,978.8
26381,3/01/2020,10:00,1003.7,978.9
26381,3/01/2020,11:00,1003.5,978.8
26381,3/01/2020,12:00,1002.7,978.0
26381,3/01/2020,13:00,1001.7,977.1
26381,3/01/2020,14:00,1000.6,976.0
26381,3/01/2020,15:00,1000.0,975.5
26381,3/01/2020,16:00,999.9,975.4
26381,3/01/2020,17:00,1000.2,975.5
26381,3/01/2020,18:00,1000.3,975.6
26381,3/01/2020,19:00,1001.0,976.1
26381,3/01/2020,20:00,1002.0,977.0
26381,3/01/2020,21:00,1002.8,977.6
26381,3/01/2020,22:00,1003.1,977.9
26381,3/01/2020,23:00,1003.7,978.3
26381,4/01/2020,0:00,1003.8,978.4
26381,4/01/2020,1:00,1004.0,978.5
26381,4/01/2020,2:00,1004.3,978.8
26381,4/01/2020,3:00,1004.7,979.2
26381,4/01/2020,4:00,1005.5,979.9
26381,4/01/2020,5:00,1006.0,980.3
26381,4/01/2020,6:00,1006.1,980.5
26381,4/01/2020,7:00,1006.8,981.3
26381,4/01/2020,8:00,1007.3,981.9
