Station,Date(NZST),Time(NZST),Pmsl(hPa),Pstn(hPa)
42975,1/01/2020,0:00,1007.4,1000.4
42975,1/01/2020,1:00,1007.7,1000.7
42975,1/01/2020,2:00,1007.3,1000.3
42975,1/01/2020,3:00,1006.4,999.4
42975,1/01/2020,4:00,1006.8,999.8
42975,1/01/2020,5:00,1006.0,999.0
42975,1/01/2020,6:00,1006.3,999.3
42975,1/01/2020,7:00,1007.0,1000.0
42975,1/01/2020,8:00,1006.6,999.6
42975,1/01/2020,9:00,1007.4,1000.4
42975,1/01/2020,10:00,1009.6,1002.5
42975,1/01/2020,11:00,1009.2,1002.1
42975,1/01/2020,12:00,1010.5,1003.4
42975,1/01/2020,13:00,1012.3,1005.1
42975,1/01/2020,14:00,1012.2,1005.0
42975,1/01/2020,15:00,1012.3,1005.1
42975,1/01/2020,16:00,1012.2,1005.0
42975,1/01/2020,17:00,1012.1,1004.9
42975,1/01/2020,18:00,1012.2,1005.0
42975,1/01/2020,19:00,1012.1,1004.9
42975,1/01/2020,20:00,1012.4,1005.2
42975,1/01/2020,21:00,1012.3,1005.0
42975,1/01/2020,22:00,1011.8,1004.5
42975,1/01/2020,23:00,1011.2,1004.0
42975,2/01/2020,0:00,1009.9,1002.7
42975,2/01/2020,1:00,1009.8,1002.5
42975,2/01/2020,2:00,1009.4,1002.1
42975,2/01/2020,3:00,1009.4,1002.1
42975,2/01/2020,4:00,1009.2,1001.9
42975,2/01/2020,5:00,1009.3,1002.0
42975,2/01/2020,6:00,1009.0,1001.7
42975,2/01/2020,7:00,1009.4,1002.1
42975,2/01/2020,8:00,1009.5,1002.3
42975,2/01/2020,9:00,1008.9,1001.7
42975,2/01/2020,10:00,1008.6,1001.4
42975,2/01/2020,11:00,1008.1,1000.9
42975,2/01/2020,12:00,1007.5,1000.4
42975,2/01/2020,13:00,1007.0,999.9
42975,2/01/2020,14:00,1006.4,999.3
42975,2/01/2020,15:00,1005.8,998.7
42975,2/01/2020,16:00,1005.4,998.3
42975,2/01/2020,17:00,1004.7,997.7
42975,2/01/2020,18:00,1004.7,997.6
42975,2/01/2020,19:00,1004.6,997.5
42975,2/01/2020,20:00,1004.9,997.8
42975,2/01/2020,21:00,1004.9,997.7
42975,2/01/2020,22:00,1004.7,997.5
42975,2/01/2020,23:00,1003.7,996.5
42975,3/01/2020,0:00,1003.6,996.4
42975,3/01/2020,1:00,1003.8,996.6
42975,3/01/2020,2:00,1004.0,996.8
42975,3/01/2020,3:00,1003.7,996.5
42975,3/01/2020,4:00,1003.6,996.4
42975,3/01/2020,5:00,1003.7,996.5
42975,3/01/2020,6:00,1004.6,997.4
42975,3/01/2020,7:00,1005.1,997.8
42975,3/01/2020,8:00,1006.1,998.8
42975,3/01/2020,9:00,1006.3,999.1
42975,3/01/2020,10:00,1006.2,999.0
42975,3/01/2020,11:00,1005.7,998.5
42975,3/01/2020,12:00,1004.6,997.4
42975,3/01/2020,13:00,1003.3,996.2
42975,3/01/2020,14:00,1002.3,995.2
42975,3/01/2020,15:00,1001.3,994.2
