Station,Date(NZST),Time(NZST),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
42975,1/01/2020,0:00,199,1.9,86.6,1.4,1.0,H
42975,1/01/2020,1:00,282,3.1,20.8,1.3,1.0,H
42975,1/01/2020,2:00,107,3.1,54.4,1.5,1.0,H
42975,1/01/2020,3:00,344,4.0,48.7,1.3,1.0,H
42975,1/01/2020,4:00,288,3.9,74.1,2.3,1.0,H
42975,1/01/2020,5:00,346,5.6,64.3,3.5,1.0,H
42975,1/01/2020,6:00,321,8.0,15.6,2.7,1.0,H
42975,1/01/2020,7:00,325,3.6,22,1.4,1.0,H
42975,1/01/2020,8:00,30,3.1,51.3,1.4,1.0,H
42975,1/01/2020,9:00,50,2.7,48.5,1.2,1.0,H
42975,1/01/2020,10:00,288,3.0,63,2.3,1.0,H
42975,1/01/2020,11:00,233,2.7,32.5,1,1.0,H
42975,1/01/2020,12:00,229,4.5,12.8,1.5,1.0,H
42975,1/01/2020,13:00,225,5.0,12.2,1.6,1.0,H
42975,1/01/2020,14:00,247,2.8,32.9,1,1.0,H
42975,1/01/2020,15:00,240,2.2,18.3,0.5,1.0,H
42975,1/01/2020,16:00,243,2.3,14,0.4,1.0,H
42975,1/01/2020,17:00,246,1.7,9.6,0.4,1.0,H
42975,1/01/2020,18:00,230,1.6,13.7,0.4,1.0,H
42975,1/01/2020,19:00,236,1.8,12.9,0.5,1.0,H
42975,1/01/2020,20:00,244,0.8,19.9,0.4,1.0,H
42975,1/01/2020,21:00,119,2.1,44.4,0.9,1.0,H
42975,1/01/2020,22:00,114,1.6,18.1,0.9,1.0,H
42975,1/01/2020,23:00,164,1.0,27.1,0.6,1.0,H
42975,2/01/2020,0:00,134,1.3,81.5,0.6,1.0,H
42975,2/01/2020,1:00,225,1.7,63.4,0.8,1.0,H
42975,2/01/2020,2:00,178,2.0,26.6,0.8,1.0,H
42975,2/01/2020,3:00,224,1.2,30.8,0.4,1.0,H
42975,2/01/2020,4:00,174,1.3,28.4,0.6,1.0,H
42975,2/01/2020,5:00,146,0.9,32.1,0.5,1.0,H
42975,2/01/2020,6:00,67,1.0,44.2,0.5,1.0,H
42975,2/01/2020,7:00,339,1.2,20.6,0.5,1.0,H
42975,2/01/2020,8:00,35,1.8,32.8,0.6,1.0,H
42975,2/01/2020,9:00,43,1.1,51.4,0.5,1.0,H
42975,2/01/2020,10:00,25,1.1,93.8,0.6,1.0,H
42975,2/01/2020,11:00,188,1.2,33.2,0.5,1.0,H
42975,2/01/2020,12:00,207,1.4,48.6,0.6,1.0,H
42975,2/01/2020,13:00,221,1.8,39.2,0.9,1.0,H
42975,2/01/2020,14:00,211,2.4,19,0.7,1.0,H
42975,2/01/2020,15:00,246,3.3,21.9,0.9,1.0,H
42975,2/01/2020,16:00,236,3.9,19.4,1,1.0,H
42975,2/01/2020,17:00,239,4.3,16.6,1,1.0,H
42975,2/01/2020,18:00,246,5.6,10.3,1,1.0,H
42975,2/01/2020,19:00,236,4.9,10.9,1.1,1.0,H
42975,2/01/2020,20:00,243,3.7,10.5,1,1.0,H
42975,2/01/2020,21:00,249,2.2,38.6,1,1.0,H
42975,2/01/2020,22:00,236,1.1,23.3,0.3,1.0,H
42975,2/01/2020,23:00,355,0.9,48.6,0.5,1.0,H
42975,3/01/2020,0:00,115,0.9,94.5,0.6,1.0,H
42975,3/01/2020,1:00,243,3.6,12.8,2.1,1.0,H
42975,3/01/2020,2:00,265,6.9,9.4,1.4,1.0,H
42975,3/01/2020,3:00,265,4.9,10.7,1.3,1.0,H
