Station,Date(NZST),Time(NZST),Pmsl(hPa),Pstn(hPa)
40845,1/01/2020,0:00,1009.7,979.6
40845,1/01/2020,1:00,1009.2,979.0
40845,1/01/2020,2:00,1008.7,978.4
40845,1/01/2020,3:00,1007.6,977.3
40845,1/01/2020,4:00,1008.2,978.0
40845,1/01/2020,5:00,1009.2,979.0
40845,1/01/2020,6:00,1009.1,979.0
40845,1/01/2020,7:00,1009.4,979.3
40845,1/01/2020,8:00,1008.9,978.8
40845,1/01/2020,9:00,1009.7,979.5
40845,1/01/2020,10:00,1010.3,980.1
40845,1/01/2020,11:00,1010.8,980.5
40845,1/01/2020,12:00,1010.6,980.2
40845,1/01/2020,13:00,1012.2,981.7
40845,1/01/2020,14:00,1012.2,981.6
40845,1/01/2020,15:00,1013.1,982.2
40845,1/01/2020,16:00,1013.4,982.4
40845,1/01/2020,17:00,1013.4,982.4
40845,1/01/2020,18:00,1013.3,982.3
40845,1/01/2020,19:00,1013.3,982.2
40845,1/01/2020,20:00,1013.4,982.3
40845,1/01/2020,21:00,1013.6,982.5
40845,1/01/2020,22:00,1012.5,981.4
40845,1/01/2020,23:00,1012.1,981.0
40845,2/01/2020,0:00,1009.8,978.8
40845,2/01/2020,1:00,1011.1,980.0
40845,2/01/2020,2:00,1010.7,979.6
40845,2/01/2020,3:00,1010.5,979.4
40845,2/01/2020,4:00,1010.5,979.4
40845,2/01/2020,5:00,1010.8,979.7
40845,2/01/2020,6:00,1010.1,979.0
40845,2/01/2020,7:00,1011.0,979.9
40845,2/01/2020,8:00,1010.9,979.8
40845,2/01/2020,9:00,1010.5,979.4
40845,2/01/2020,10:00,1010.0,979.1
40845,2/01/2020,11:00,1009.3,978.6
40845,2/01/2020,12:00,1008.6,978.1
40845,2/01/2020,13:00,1007.8,977.4
40845,2/01/2020,14:00,1007.1,976.9
40845,2/01/2020,15:00,1006.5,976.3
40845,2/01/2020,16:00,1006.3,976.1
40845,2/01/2020,17:00,1005.8,975.7
40845,2/01/2020,18:00,1005.9,975.6
40845,2/01/2020,19:00,1005.9,975.6
40845,2/01/2020,20:00,1006.3,975.9
40845,2/01/2020,21:00,1006.3,975.7
40845,2/01/2020,22:00,1006.8,976.1
40845,2/01/2020,23:00,1005.8,975.1
40845,3/01/2020,0:00,1005.5,974.8
40845,3/01/2020,1:00,1005.2,974.6
40845,3/01/2020,2:00,1005.0,974.4
40845,3/01/2020,3:00,1004.6,973.9
40845,3/01/2020,4:00,1004.6,973.8
40845,3/01/2020,5:00,1005.1,974.3
40845,3/01/2020,6:00,1005.7,974.8
40845,3/01/2020,7:00,1006.0,975.1
40845,3/01/2020,8:00,1006.8,976.0
40845,3/01/2020,9:00,1007.5,976.8
40845,3/01/2020,10:00,1007.7,976.9
40845,3/01/2020,11:00,1007.0,976.2
40845,3/01/2020,12:00,1006.2,975.5
40845,3/01/2020,13:00,1005.0,974.5
40845,3/01/2020,14:00,1004.2,973.8
40845,3/01/2020,15:00,1004.4,973.9
40845,3/01/2020,16:00,1003.5,973.0
40845,3/01/2020,17:00,1003.4,972.9
40845,3/01/2020,18:00,1004.0,973.4
40845,3/01/2020,19:00,1004.3,973.5
40845,3/01/2020,20:00,1005.3,974.4
40845,3/01/2020,21:00,1006.2,975.2
40845,3/01/2020,22:00,1006.7,975.6
40845,3/01/2020,23:00,1006.6,975.4
40845,4/01/2020,0:00,1006.8,975.6
40845,4/01/2020,1:00,1007.4,976.1
40845,4/01/2020,2:00,1008.1,976.8
40845,4/01/2020,3:00,1008.6,977.2
40845,4/01/2020,4:00,1009.0,977.5
40845,4/01/2020,5:00,1009.6,978.0
40845,4/01/2020,6:00,1009.8,978.2
40845,4/01/2020,7:00,1010.7,979.1
40845,4/01/2020,8:00,1010.9,979.5
40845,4/01/2020,9:00,1011.0,979.7
40845,4/01/2020,10:00,1010.5,979.4
40845,4/01/2020,11:00,1010.2,979.1
40845,4/01/2020,12:00,1010.0,979.0
40845,4/01/2020,13:00,1009.3,978.4
40845,4/01/2020,14:00,1009.8,979.0
40845,4/01/2020,15:00,1010.0,979.1
40845,4/01/2020,16:00,1010.1,979.2
40845,4/01/2020,17:00,1009.4,978.5
40845,4/01/2020,18:00,1009.0,978.1
40845,4/01/2020,19:00,1009.5,978.5
40845,4/01/2020,20:00,1010.2,979.1
40845,4/01/2020,21:00,1010.6,979.3
40845,4/01/2020,22:00,1010.3,978.9
