Station,Date(NZST),Time(NZST),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
40845,1/01/2020,0:00,266,2.1,75,1.3,1.0,H
40845,1/01/2020,1:00,312,7.4,37,2.6,1.0,H
40845,1/01/2020,2:00,326,7.2,31,2.3,1.0,H
40845,1/01/2020,3:00,299,10.5,10,2.4,1.0,H
40845,1/01/2020,4:00,306,12.2,6,2.4,1.0,H
40845,1/01/2020,5:00,297,10.2,7,2.5,1.0,H
40845,1/01/2020,6:00,316,5.0,10,1.5,1.0,H
40845,1/01/2020,7:00,290,4.2,10,1.4,1.0,H
40845,1/01/2020,8:00,127,2.8,61,1.3,1.0,H
40845,1/01/2020,9:00,259,2.4,82,1.3,1.0,H
40845,1/01/2020,10:00,255,3.2,77,1.8,1.0,H
40845,1/01/2020,11:00,272,2.5,28,1.1,1.0,H
40845,1/01/2020,12:00,301,3.2,57,1.7,1.0,H
40845,1/01/2020,13:00,234,2.6,62,1.3,1.0,H
40845,1/01/2020,14:00,8,1.7,57,1.2,1.0,H
40845,1/01/2020,15:00,148,3.6,34,1.4,1.0,H
40845,1/01/2020,16:00,168,2.0,28,1.1,1.0,H
40845,1/01/2020,17:00,190,2.3,27,1,1.0,H
40845,1/01/2020,18:00,192,2.1,22,0.8,1.0,H
40845,1/01/2020,19:00,185,2.4,23,1.1,1.0,H
40845,1/01/2020,20:00,226,1.1,31,0.5,1.0,H
40845,1/01/2020,21:00,213,0.9,26,0.4,1.0,H
40845,1/01/2020,22:00,145,0.9,36,0.3,1.0,H
40845,1/01/2020,23:00,169,1.0,23,0.3,1.0,H
40845,2/01/2020,0:00,95,2.0,62,1.2,1.0,H
40845,2/01/2020,1:00,200,2.1,21,1.3,1.0,H
40845,2/01/2020,2:00,150,1.4,23,0.7,1.0,H
40845,2/01/2020,3:00,172,0.7,40,0.4,1.0,H
40845,2/01/2020,4:00,198,1.2,21,0.5,1.0,H
40845,2/01/2020,5:00,261,0.8,65,0.4,1.0,H
40845,2/01/2020,6:00,208,0.6,26,0.4,1.0,H
40845,2/01/2020,7:00,175,1.2,31,0.5,1.0,H
40845,2/01/2020,8:00,169,0.8,38,0.4,1.0,H
40845,2/01/2020,9:00,145,1.0,36,0.3,1.0,H
40845,2/01/2020,10:00,311,0.6,84,0.5,1.0,H
40845,2/01/2020,11:00,82,0.9,69,0.5,1.0,H
40845,2/01/2020,12:00,158,1.0,82,0.6,1.0,H
40845,2/01/2020,13:00,106,1.5,60,0.7,1.0,H
40845,2/01/2020,14:00,225,2.1,60,1,1.0,H
40845,2/01/2020,15:00,149,3.3,20,1.1,1.0,H
40845,2/01/2020,16:00,197,3.2,20,1.1,1.0,H
40845,2/01/2020,17:00,148,3.2,26,1.2,1.0,H
40845,2/01/2020,18:00,140,2.8,14,1,1.0,H
40845,2/01/2020,19:00,163,2.1,19,0.8,1.0,H
40845,2/01/2020,20:00,191,1.7,22,0.7,1.0,H
40845,2/01/2020,21:00,281,2.1,60,1.1,1.0,H
40845,2/01/2020,22:00,298,3.6,11,1.3,1.0,H
40845,2/01/2020,23:00,300,3.1,10,1.1,1.0,H
40845,3/01/2020,0:00,282,3.1,11,1.3,1.0,H
40845,3/01/2020,1:00,293,4.3,15,1.5,1.0,H
40845,3/01/2020,2:00,256,4.4,12,1.7,1.0,H
40845,3/01/2020,3:00,286,4.4,10,1.5,1.0,H
40845,3/01/2020,4:00,282,4.7,9,1.4,1.0,H
40845,3/01/2020,5:00,269,4.4,12,1.4,1.0,H
40845,3/01/2020,6:00,279,4.4,12,1.5,1.0,H
40845,3/01/2020,7:00,251,4.5,16,1.4,1.0,H
40845,3/01/2020,8:00,273,6.0,10,1.8,1.0,H
40845,3/01/2020,9:00,196,5.4,23,1.7,1.0,H
40845,3/01/2020,10:00,197,3.3,20,1.2,1.0,H
40845,3/01/2020,11:00,208,2.6,39,1.1,1.0,H
40845,3/01/2020,12:00,261,3.3,84,1.6,1.0,H
40845,3/01/2020,13:00,285,5.6,19,1.9,1.0,H
40845,3/01/2020,14:00,276,8.4,13,1.9,1.0,H
40845,3/01/2020,15:00,271,8.4,12,2.2,1.0,H
40845,3/01/2020,16:00,283,8.3,12,1.9,1.0,H
40845,3/01/2020,17:00,281,8.1,14,2.1,1.0,H
40845,3/01/2020,18:00,251,7.1,17,1.7,1.0,H
40845,3/01/2020,19:00,272,6.8,11,2,1.0,H
40845,3/01/2020,20:00,203,3.6,71,1.4,1.0,H
40845,3/01/2020,21:00,205,2.0,33,1.1,1.0,H
40845,3/01/2020,22:00,193,2.9,12,0.8,1.0,H
40845,3/01/2020,23:00,223,2.0,24,0.7,1.0,H
40845,4/01/2020,0:00,217,2.2,23,0.9,1.0,H
40845,4/01/2020,1:00,224,3.0,25,1,1.0,H
40845,4/01/2020,2:00,199,3.8,12,1.1,1.0,H
40845,4/01/2020,3:00,219,3.6,11,1.1,1.0,H
40845,4/01/2020,4:00,225,3.0,12,1,1.0,H
40845,4/01/2020,5:00,2,1.3,42,0.7,1.0,H
40845,4/01/2020,6:00,227,1.1,32,0.5,1.0,H
40845,4/01/2020,7:00,210,0.8,64,0.7,1.0,H
40845,4/01/2020,8:00,209,1.9,22,0.7,1.0,H
40845,4/01/2020,9:00,202,3.0,18,0.8,1.0,H
40845,4/01/2020,10:00,182,3.6,19,1.3,1.0,H
