Station,Date(NZST),Time(NZST),Pmsl(hPa),Pstn(hPa)
3925,1/01/2020,0:00,1019.8,995.9
3925,1/01/2020,1:00,1019.6,995.6
3925,1/01/2020,2:00,1019.9,995.9
3925,1/01/2020,3:00,1020.0,996.0
3925,1/01/2020,4:00,1019.7,995.8
3925,1/01/2020,5:00,1020.0,996.0
3925,1/01/2020,6:00,1020.3,996.3
3925,1/01/2020,7:00,1020.3,996.4
3925,1/01/2020,8:00,1020.3,996.4
3925,1/01/2020,9:00,1019.8,996.0
3925,1/01/2020,10:00,1019.5,995.8
3925,1/01/2020,11:00,1018.8,995.4
3925,1/01/2020,12:00,1018.3,995.1
3925,1/01/2020,13:00,1017.7,994.7
3925,1/01/2020,14:00,1017.2,994.2
3925,1/01/2020,15:00,1017.0,994.0
3925,1/01/2020,16:00,1016.8,993.8
3925,1/01/2020,17:00,1016.9,993.7
3925,1/01/2020,18:00,1016.9,993.6
3925,1/01/2020,19:00,1017.4,994.0
3925,1/01/2020,20:00,1018.2,994.7
3925,1/01/2020,21:00,1019.2,995.5
3925,1/01/2020,22:00,1018.7,995.0
3925,1/01/2020,23:00,1018.4,994.6
3925,2/01/2020,0:00,1018.3,994.4
3925,2/01/2020,1:00,1017.6,993.7
3925,2/01/2020,2:00,1016.8,992.9
3925,2/01/2020,3:00,1016.4,992.5
3925,2/01/2020,4:00,1016.2,992.4
3925,2/01/2020,5:00,1016.4,992.5
3925,2/01/2020,6:00,1015.7,991.8
3925,2/01/2020,7:00,1015.1,991.4
3925,2/01/2020,8:00,1015.5,992.0
3925,2/01/2020,9:00,1014.6,991.2
3925,2/01/2020,10:00,1012.9,989.8
3925,2/01/2020,11:00,1011.6,988.7
3925,2/01/2020,12:00,1010.5,987.7
3925,2/01/2020,13:00,1009.7,986.9
3925,2/01/2020,14:00,1009.5,986.6
3925,2/01/2020,15:00,1009.2,986.2
3925,2/01/2020,16:00,1008.7,985.7
3925,2/01/2020,17:00,1007.7,984.7
3925,2/01/2020,18:00,1007.5,984.5
3925,2/01/2020,19:00,1008.0,985.0
3925,2/01/2020,20:00,1008.4,985.3
3925,2/01/2020,21:00,1008.7,985.4
3925,2/01/2020,22:00,1008.9,985.6
3925,2/01/2020,23:00,1008.5,985.2
3925,3/01/2020,0:00,1008.3,985.0
3925,3/01/2020,1:00,1007.9,984.6
3925,3/01/2020,2:00,1007.9,984.5
3925,3/01/2020,3:00,1007.8,984.3
3925,3/01/2020,4:00,1007.7,984.2
3925,3/01/2020,5:00,1008.4,984.8
3925,3/01/2020,6:00,1008.5,984.9
3925,3/01/2020,7:00,1009.0,985.5
3925,3/01/2020,8:00,1009.3,985.9
3925,3/01/2020,9:00,1009.4,986.0
3925,3/01/2020,10:00,1008.9,985.6
3925,3/01/2020,11:00,1008.6,985.4
3925,3/01/2020,12:00,1008.1,985.0
3925,3/01/2020,13:00,1007.6,984.5
3925,3/01/2020,14:00,1007.1,984.0
3925,3/01/2020,15:00,1006.8,983.8
3925,3/01/2020,16:00,1007.2,984.0
3925,3/01/2020,17:00,1007.2,984.0
3925,3/01/2020,18:00,1007.6,984.3
3925,3/01/2020,19:00,1008.2,984.8
3925,3/01/2020,20:00,1008.7,985.1
3925,3/01/2020,21:00,1009.0,985.3
3925,3/01/2020,22:00,1009.3,985.6
3925,3/01/2020,23:00,1009.0,985.3
3925,4/01/2020,0:00,1008.3,984.5
3925,4/01/2020,1:00,1008.2,984.4
3925,4/01/2020,2:00,1008.4,984.6
3925,4/01/2020,3:00,1008.4,984.6
3925,4/01/2020,4:00,1008.7,984.9
3925,4/01/2020,5:00,1009.7,985.8
3925,4/01/2020,6:00,1009.4,985.6
3925,4/01/2020,7:00,1009.6,985.8
3925,4/01/2020,8:00,1010.8,987.0
3925,4/01/2020,9:00,1011.0,987.2
3925,4/01/2020,10:00,1010.8,987.1
3925,4/01/2020,11:00,1010.8,987.2
3925,4/01/2020,12:00,1010.5,987.0
3925,4/01/2020,13:00,1010.2,986.7
3925,4/01/2020,14:00,1010.1,986.7
3925,4/01/2020,15:00,1009.9,986.5
3925,4/01/2020,16:00,1009.9,986.6
3925,4/01/2020,17:00,1010.2,986.8
3925,4/01/2020,18:00,1010.6,987.1
3925,4/01/2020,19:00,1010.7,987.1
