Station,Date(NZST),Time(NZST),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
3925,1/01/2020,0:00,190,0.4,15,0.6,1.0,H
3925,1/01/2020,1:00,127,0.3,52,0.4,1.0,H
3925,1/01/2020,2:00,0,0.0,0,0.1,1.0,H
3925,1/01/2020,3:00,160,0.5,44,0.5,1.0,H
3925,1/01/2020,4:00,165,1.1,24,0.4,1.0,H
3925,1/01/2020,5:00,306,0.3,58,0.4,1.0,H
3925,1/01/2020,6:00,304,0.2,7,0.4,1.0,H
3925,1/01/2020,7:00,309,0.5,13,0.5,1.0,H
3925,1/01/2020,8:00,304,1.0,22,0.4,1.0,H
3925,1/01/2020,9:00,291,1.2,33,0.4,1.0,H
3925,1/01/2020,10:00,305,1.0,30,0.6,1.0,H
3925,1/01/2020,11:00,274,0.7,51,0.5,1.0,H
3925,1/01/2020,12:00,276,0.8,46,0.5,1.0,H
3925,1/01/2020,13:00,237,1.0,60,0.6,1.0,H
3925,1/01/2020,14:00,212,1.9,26,0.7,1.0,H
3925,1/01/2020,15:00,239,1.8,30,0.8,1.0,H
3925,1/01/2020,16:00,235,2.0,25,0.8,1.0,H
3925,1/01/2020,17:00,238,2.2,27,0.9,1.0,H
3925,1/01/2020,18:00,229,1.6,28,0.8,1.0,H
3925,1/01/2020,19:00,222,0.7,28,0.6,1.0,H
3925,1/01/2020,20:00,218,0.9,20,0.5,1.0,H
3925,1/01/2020,21:00,222,1.3,31,0.8,1.0,H
3925,1/01/2020,22:00,149,0.6,44,0.5,1.0,H
3925,1/01/2020,23:00,280,0.2,16,0.4,1.0,H
3925,2/01/2020,0:00,318,0.1,32,0.2,1.0,H
3925,2/01/2020,1:00,239,0.2,36,0.5,1.0,H
3925,2/01/2020,2:00,138,0.3,53,0.4,1.0,H
3925,2/01/2020,3:00,143,0.5,68,0.7,1.0,H
3925,2/01/2020,4:00,102,0.5,71,0.6,1.0,H
3925,2/01/2020,5:00,331,0.4,34,0.4,1.0,H
3925,2/01/2020,6:00,335,0.5,66,0.5,1.0,H
3925,2/01/2020,7:00,282,0.7,68,0.6,1.0,H
3925,2/01/2020,8:00,302,0.9,47,0.6,1.0,H
3925,2/01/2020,9:00,6,1.0,48,0.7,1.0,H
3925,2/01/2020,10:00,358,1.9,29,0.7,1.0,H
3925,2/01/2020,11:00,345,2.4,30,1,1.0,H
3925,2/01/2020,12:00,2,3.4,32,1.4,1.0,H
3925,2/01/2020,13:00,356,4.2,32,1.6,1.0,H
3925,2/01/2020,14:00,344,4.5,26,1.6,1.0,H
3925,2/01/2020,15:00,356,3.2,33,1.3,1.0,H
3925,2/01/2020,16:00,15,3.3,32,1.4,1.0,H
3925,2/01/2020,17:00,23,2.5,30,1,1.0,H
3925,2/01/2020,18:00,23,2.1,38,1,1.0,H
3925,2/01/2020,19:00,354,1.8,29,0.8,1.0,H
3925,2/01/2020,20:00,352,1.2,20,0.6,1.0,H
3925,2/01/2020,21:00,350,0.7,22,0.6,1.0,H
3925,2/01/2020,22:00,329,0.4,23,0.4,1.0,H
3925,2/01/2020,23:00,319,0.3,23,0.4,1.0,H
3925,3/01/2020,0:00,298,0.1,1,0.2,1.0,H
3925,3/01/2020,1:00,53,0.1,4,0.2,1.0,H
3925,3/01/2020,2:00,247,0.5,30,0.5,1.0,H
3925,3/01/2020,3:00,145,0.1,3,0.3,1.0,H
3925,3/01/2020,4:00,162,0.4,56,0.5,1.0,H
3925,3/01/2020,5:00,182,1.3,30,0.8,1.0,H
3925,3/01/2020,6:00,135,3.1,17,0.8,1.0,H
3925,3/01/2020,7:00,133,3.3,19,0.8,1.0,H
3925,3/01/2020,8:00,134,3.0,18,0.8,1.0,H
3925,3/01/2020,9:00,166,2.4,36,0.9,1.0,H
3925,3/01/2020,10:00,206,2.7,28,1.1,1.0,H
3925,3/01/2020,11:00,205,3.4,25,1.4,1.0,H
3925,3/01/2020,12:00,225,3.2,33,1.2,1.0,H
3925,3/01/2020,13:00,206,3.4,33,1.4,1.0,H
3925,3/01/2020,14:00,200,3.4,30,1.2,1.0,H
3925,3/01/2020,15:00,204,3.6,27,1.5,1.0,H
3925,3/01/2020,16:00,204,4.2,29,1.5,1.0,H
3925,3/01/2020,17:00,186,3.8,27,1.3,1.0,H
3925,3/01/2020,18:00,185,3.8,22,1.4,1.0,H
3925,3/01/2020,19:00,183,3.2,31,1.4,1.0,H
3925,3/01/2020,20:00,170,2.4,29,0.9,1.0,H
3925,3/01/2020,21:00,156,1.9,22,0.8,1.0,H
3925,3/01/2020,22:00,163,3.0,22,1.1,1.0,H
3925,3/01/2020,23:00,151,2.4,21,1,1.0,H
3925,4/01/2020,0:00,160,2.0,21,0.7,1.0,H
3925,4/01/2020,1:00,181,1.1,43,0.6,1.0,H
3925,4/01/2020,2:00,277,0.8,39,0.7,1.0,H
3925,4/01/2020,3:00,329,0.4,17,0.6,1.0,H
3925,4/01/2020,4:00,197,1.4,49,1.2,1.0,H
3925,4/01/2020,5:00,186,1.6,50,0.7,1.0,H
3925,4/01/2020,6:00,169,1.4,51,1,1.0,H
3925,4/01/2020,7:00,130,2.8,17,0.8,1.0,H
3925,4/01/2020,8:00,157,1.8,24,0.7,1.0,H
3925,4/01/2020,9:00,147,2.3,25,0.8,1.0,H
3925,4/01/2020,10:00,165,2.3,24,0.9,1.0,H
3925,4/01/2020,11:00,158,3.1,26,1.1,1.0,H
3925,4/01/2020,12:00,164,2.5,29,0.9,1.0,H
3925,4/01/2020,13:00,204,2.2,38,0.9,1.0,H
3925,4/01/2020,14:00,182,2.6,33,1.2,1.0,H
3925,4/01/2020,15:00,199,2.8,32,1.2,1.0,H
3925,4/01/2020,16:00,216,2.6,35,1,1.0,H
3925,4/01/2020,17:00,214,3.0,26,1.2,1.0,H
3925,4/01/2020,18:00,226,2.9,31,1.2,1.0,H
3925,4/01/2020,19:00,210,2.1,30,0.8,1.0,H
3925,4/01/2020,20:00,155,1.7,21,0.6,1.0,H
3925,4/01/2020,21:00,162,1.2,40,0.9,1.0,H
3925,4/01/2020,22:00,184,0.4,20,0.5,1.0,H
3925,4/01/2020,23:00,141,0.6,76,0.5,1.0,H
3925,5/01/2020,0:00,121,0.6,17,0.5,1.0,H
3925,5/01/2020,1:00,148,1.1,56,0.7,1.0,H
3925,5/01/2020,2:00,80,0.2,55,0.4,1.0,H
3925,5/01/2020,3:00,66,0.5,80,0.4,1.0,H
3925,5/01/2020,4:00,321,0.4,29,0.4,1.0,H
3925,5/01/2020,5:00,6,0.8,62,0.5,1.0,H
3925,5/01/2020,6:00,290,0.4,14,0.5,1.0,H
3925,5/01/2020,7:00,209,0.4,38,0.5,1.0,H
3925,5/01/2020,8:00,4,1.0,49,0.6,1.0,H
3925,5/01/2020,9:00,35,0.7,57,0.7,1.0,H
3925,5/01/2020,10:00,344,2.0,27,0.8,1.0,H
3925,5/01/2020,11:00,5,2.4,35,1,1.0,H
3925,5/01/2020,12:00,37,2.5,24,0.9,1.0,H
3925,5/01/2020,13:00,33,2.8,27,1.1,1.0,H
3925,5/01/2020,14:00,19,3.1,34,1.4,1.0,H
3925,5/01/2020,15:00,12,3.0,33,1.2,1.0,H
3925,5/01/2020,16:00,354,2.1,32,1.2,1.0,H
3925,5/01/2020,17:00,343,1.9,43,1,1.0,H
3925,5/01/2020,18:00,309,1.7,27,0.7,1.0,H
3925,5/01/2020,19:00,292,1.0,26,0.4,1.0,H
3925,5/01/2020,20:00,226,1.4,45,0.5,1.0,H
3925,5/01/2020,21:00,191,2.0,23,1,1.0,H
3925,5/01/2020,22:00,172,2.9,29,1.1,1.0,H
3925,5/01/2020,23:00,173,2.6,25,1,1.0,H
3925,6/01/2020,0:00,155,2.6,24,1,1.0,H
3925,6/01/2020,1:00,167,2.9,26,1.1,1.0,H
3925,6/01/2020,2:00,167,1.8,31,1,1.0,H
3925,6/01/2020,3:00,202,1.0,27,0.8,1.0,H
3925,6/01/2020,4:00,215,0.7,28,0.6,1.0,H
3925,6/01/2020,5:00,271,0.5,39,0.6,1.0,H
3925,6/01/2020,6:00,189,1.3,73,0.7,1.0,H
3925,6/01/2020,7:00,4,1.1,63,0.7,1.0,H
3925,6/01/2020,8:00,317,1.3,60,0.8,1.0,H
3925,6/01/2020,9:00,92,1.0,92,0.6,1.0,H
3925,6/01/2020,10:00,151,1.1,68,0.7,1.0,H
3925,6/01/2020,11:00,227,2.2,60,0.9,1.0,H
3925,6/01/2020,12:00,179,2.1,42,0.9,1.0,H
3925,6/01/2020,13:00,207,2.8,43,1.9,1.0,H
3925,6/01/2020,14:00,202,2.8,26,1.5,1.0,H
3925,6/01/2020,15:00,183,3.2,29,1.4,1.0,H
3925,6/01/2020,16:00,218,3.1,37,1.3,1.0,H
3925,6/01/2020,17:00,233,3.2,35,1.4,1.0,H
3925,6/01/2020,18:00,221,2.8,34,1.2,1.0,H
3925,6/01/2020,19:00,198,2.8,32,1.2,1.0,H
3925,6/01/2020,20:00,179,2.3,29,1.1,1.0,H
3925,6/01/2020,21:00,206,2.4,40,1,1.0,H
3925,6/01/2020,22:00,139,1.1,82,0.8,1.0,H
3925,6/01/2020,23:00,144,1.7,24,0.8,1.0,H
3925,7/01/2020,0:00,119,1.9,82,0.8,1.0,H
3925,7/01/2020,1:00,3,0.6,50,0.6,1.0,H
3925,7/01/2020,2:00,348,0.6,61,0.5,1.0,H
3925,7/01/2020,3:00,329,0.8,22,0.6,1.0,H
3925,7/01/2020,4:00,4,0.7,18,0.5,1.0,H
3925,7/01/2020,5:00,56,0.4,20,0.5,1.0,H
3925,7/01/2020,6:00,332,0.5,10,0.5,1.0,H
3925,7/01/2020,7:00,326,1.2,16,0.5,1.0,H
3925,7/01/2020,8:00,308,1.4,19,0.5,1.0,H
3925,7/01/2020,9:00,322,1.2,27,0.5,1.0,H
3925,7/01/2020,10:00,328,1.4,41,0.7,1.0,H
3925,7/01/2020,11:00,297,1.8,51,0.8,1.0,H
3925,7/01/2020,12:00,17,1.5,64,0.8,1.0,H
3925,7/01/2020,13:00,312,1.7,53,0.8,1.0,H
3925,7/01/2020,14:00,316,2.4,30,1.2,1.0,H
3925,7/01/2020,15:00,339,3.0,31,1,1.0,H
3925,7/01/2020,16:00,352,2.5,30,1,1.0,H
3925,7/01/2020,17:00,200,2.0,83,0.9,1.0,H
3925,7/01/2020,18:00,106,3.3,23,1,1.0,H
3925,7/01/2020,19:00,60,2.2,38,0.8,1.0,H
3925,7/01/2020,20:00,306,1.7,46,0.9,1.0,H
3925,7/01/2020,21:00,136,0.5,18,0.5,1.0,H
3925,7/01/2020,22:00,141,0.7,20,0.5,1.0,H
3925,7/01/2020,23:00,145,1.1,22,0.6,1.0,H
3925,8/01/2020,0:00,134,1.1,20,0.4,1.0,H
3925,8/01/2020,1:00,126,1.0,44,0.6,1.0,H
3925,8/01/2020,2:00,148,0.6,57,0.6,1.0,H
3925,8/01/2020,3:00,315,0.2,36,0.4,1.0,H
3925,8/01/2020,4:00,49,0.4,68,0.4,1.0,H
3925,8/01/2020,5:00,305,0.2,14,0.4,1.0,H
3925,8/01/2020,6:00,326,0.1,2,0.3,1.0,H
3925,8/01/2020,7:00,286,0.2,7,0.3,1.0,H
3925,8/01/2020,8:00,272,0.4,12,0.4,1.0,H
3925,8/01/2020,9:00,302,1.2,29,0.6,1.0,H
3925,8/01/2020,10:00,351,1.6,31,0.7,1.0,H
3925,8/01/2020,11:00,356,1.7,44,0.7,1.0,H
3925,8/01/2020,12:00,7,2.0,34,0.8,1.0,H
3925,8/01/2020,13:00,354,1.7,35,0.9,1.0,H
3925,8/01/2020,14:00,348,1.8,35,1,1.0,H
3925,8/01/2020,15:00,345,2.0,38,0.8,1.0,H
3925,8/01/2020,16:00,349,1.4,39,0.8,1.0,H
3925,8/01/2020,17:00,84,2.0,53,0.9,1.0,H
3925,8/01/2020,18:00,122,2.5,14,0.7,1.0,H
3925,8/01/2020,19:00,77,2.3,32,0.7,1.0,H
3925,8/01/2020,20:00,45,2.0,21,0.7,1.0,H
3925,8/01/2020,21:00,86,1.6,26,0.6,1.0,H
3925,8/01/2020,22:00,11,0.9,31,0.6,1.0,H
3925,8/01/2020,23:00,109,0.8,50,0.5,1.0,H
3925,9/01/2020,0:00,114,0.4,38,0.4,1.0,H
3925,9/01/2020,1:00,276,0.1,2,0.2,1.0,H
3925,9/01/2020,2:00,0,0.0,0,0,1.0,H
3925,9/01/2020,3:00,93,0.2,15,0.4,1.0,H
3925,9/01/2020,4:00,257,0.4,5,0.4,1.0,H
3925,9/01/2020,5:00,279,0.1,12,0.3,1.0,H
3925,9/01/2020,6:00,279,0.4,3,0.4,1.0,H
3925,9/01/2020,7:00,282,0.2,2,0.3,1.0,H
3925,9/01/2020,8:00,280,0.3,13,0.4,1.0,H
3925,9/01/2020,9:00,287,0.7,41,0.6,1.0,H
3925,9/01/2020,10:00,180,2.5,32,1,1.0,H
3925,9/01/2020,11:00,178,2.7,35,1,1.0,H
3925,9/01/2020,12:00,181,2.6,31,1.1,1.0,H
3925,9/01/2020,13:00,200,2.6,33,1.1,1.0,H
3925,9/01/2020,14:00,222,2.9,30,1.1,1.0,H
3925,9/01/2020,15:00,237,2.7,29,1.1,1.0,H
3925,9/01/2020,16:00,220,2.2,27,1,1.0,H
3925,9/01/2020,17:00,183,1.8,52,1,1.0,H
3925,9/01/2020,18:00,187,2.8,27,1.2,1.0,H
3925,9/01/2020,19:00,188,1.9,27,0.9,1.0,H
3925,9/01/2020,20:00,152,2.2,18,0.8,1.0,H
3925,9/01/2020,21:00,180,1.5,21,0.6,1.0,H
3925,9/01/2020,22:00,228,0.7,34,0.4,1.0,H
3925,9/01/2020,23:00,168,0.6,31,0.4,1.0,H
3925,10/01/2020,0:00,122,0.5,20,0.6,1.0,H
3925,10/01/2020,1:00,159,0.5,27,0.5,1.0,H
3925,10/01/2020,2:00,164,0.6,40,0.5,1.0,H
3925,10/01/2020,3:00,163,0.7,31,0.6,1.0,H
3925,10/01/2020,4:00,129,0.8,57,0.5,1.0,H
3925,10/01/2020,5:00,202,0.1,21,0.2,1.0,H
3925,10/01/2020,6:00,134,0.7,11,0.5,1.0,H
3925,10/01/2020,7:00,116,1.3,21,0.5,1.0,H
3925,10/01/2020,8:00,131,1.1,53,0.5,1.0,H
3925,10/01/2020,9:00,236,1.8,28,0.7,1.0,H
3925,10/01/2020,10:00,248,2.2,27,0.8,1.0,H
3925,10/01/2020,11:00,228,2.0,31,0.8,1.0,H
3925,10/01/2020,12:00,226,2.4,35,0.9,1.0,H
3925,10/01/2020,13:00,211,2.4,39,0.9,1.0,H
3925,10/01/2020,14:00,224,2.7,36,1.2,1.0,H
3925,10/01/2020,15:00,226,2.6,29,1,1.0,H
3925,10/01/2020,16:00,226,2.8,32,1.2,1.0,H
3925,10/01/2020,17:00,241,2.9,25,1,1.0,H
3925,10/01/2020,18:00,241,2.9,24,1,1.0,H
3925,10/01/2020,19:00,234,2.5,27,1.1,1.0,H
3925,10/01/2020,20:00,214,1.6,23,0.7,1.0,H
3925,10/01/2020,21:00,212,1.5,23,0.7,1.0,H
3925,10/01/2020,22:00,188,1.1,15,0.5,1.0,H
3925,10/01/2020,23:00,197,0.9,16,0.6,1.0,H
3925,11/01/2020,0:00,204,1.1,11,0.5,1.0,H
3925,11/01/2020,1:00,193,1.0,15,0.4,1.0,H
3925,11/01/2020,2:00,162,0.8,32,0.4,1.0,H
3925,11/01/2020,3:00,123,0.6,14,0.4,1.0,H
3925,11/01/2020,4:00,139,0.2,28,0.3,1.0,H
3925,11/01/2020,5:00,199,0.2,23,0.4,1.0,H
3925,11/01/2020,6:00,224,0.3,35,0.5,1.0,H
3925,11/01/2020,7:00,0,0.0,0,0.1,1.0,H
3925,11/01/2020,8:00,276,0.3,44,0.4,1.0,H
3925,11/01/2020,9:00,321,0.9,39,0.8,1.0,H
3925,11/01/2020,10:00,337,1.7,43,0.8,1.0,H
3925,11/01/2020,11:00,348,2.1,38,0.9,1.0,H
3925,11/01/2020,12:00,323,2.2,44,1,1.0,H
3925,11/01/2020,13:00,233,2.1,41,1,1.0,H
3925,11/01/2020,14:00,220,2.1,66,0.9,1.0,H
3925,11/01/2020,15:00,16,3.2,40,1.3,1.0,H
3925,11/01/2020,16:00,26,3.6,32,1.4,1.0,H
3925,11/01/2020,17:00,15,3.9,33,1.6,1.0,H
3925,11/01/2020,18:00,10,3.9,33,1.5,1.0,H
3925,11/01/2020,19:00,9,4.0,33,1.6,1.0,H
3925,11/01/2020,20:00,23,3.6,30,1.3,1.0,H
3925,11/01/2020,21:00,29,3.5,28,1.4,1.0,H
3925,11/01/2020,22:00,26,3.2,29,1.3,1.0,H
3925,11/01/2020,23:00,12,3.2,34,1.5,1.0,H
3925,12/01/2020,0:00,12,3.4,33,1.5,1.0,H
3925,12/01/2020,1:00,10,3.2,34,1.4,1.0,H
3925,12/01/2020,2:00,14,3.3,33,1.4,1.0,H
3925,12/01/2020,3:00,15,3.7,33,1.6,1.0,H
3925,12/01/2020,4:00,22,3.4,30,1.4,1.0,H
3925,12/01/2020,5:00,32,3.8,26,1.5,1.0,H
3925,12/01/2020,6:00,35,4.2,25,1.5,1.0,H
3925,12/01/2020,7:00,37,4.2,25,1.5,1.0,H
3925,12/01/2020,8:00,38,4.4,24,1.6,1.0,H
3925,12/01/2020,9:00,36,4.4,25,1.5,1.0,H
3925,12/01/2020,10:00,27,3.7,29,1.4,1.0,H
3925,12/01/2020,11:00,29,3.7,29,1.4,1.0,H
3925,12/01/2020,12:00,31,4.1,28,1.6,1.0,H
3925,12/01/2020,13:00,36,3.9,27,1.4,1.0,H
3925,12/01/2020,14:00,33,3.7,27,1.3,1.0,H
3925,12/01/2020,15:00,31,3.7,29,1.4,1.0,H
3925,12/01/2020,16:00,9,3.1,54,1.1,1.0,H
3925,12/01/2020,17:00,221,1.9,34,1.1,1.0,H
3925,12/01/2020,18:00,209,1.9,28,0.7,1.0,H
3925,12/01/2020,19:00,175,2.4,32,1,1.0,H
3925,12/01/2020,20:00,208,1.2,37,0.9,1.0,H
3925,12/01/2020,21:00,190,0.4,36,0.5,1.0,H
3925,12/01/2020,22:00,187,0.8,27,0.4,1.0,H
3925,12/01/2020,23:00,152,0.6,25,0.5,1.0,H
3925,13/01/2020,0:00,178,0.7,17,0.5,1.0,H
3925,13/01/2020,1:00,199,1.2,15,0.5,1.0,H
3925,13/01/2020,2:00,197,1.3,20,0.5,1.0,H
3925,13/01/2020,3:00,168,1.0,18,0.7,1.0,H
3925,13/01/2020,4:00,183,0.8,32,0.5,1.0,H
3925,13/01/2020,5:00,134,0.3,32,0.4,1.0,H
3925,13/01/2020,6:00,171,1.2,35,0.7,1.0,H
3925,13/01/2020,7:00,134,1.1,20,0.5,1.0,H
3925,13/01/2020,8:00,138,1.3,42,0.5,1.0,H
3925,13/01/2020,9:00,228,1.7,23,0.7,1.0,H
3925,13/01/2020,10:00,232,2.6,27,1,1.0,H
3925,13/01/2020,11:00,225,2.6,31,1,1.0,H
3925,13/01/2020,12:00,240,2.6,33,1.1,1.0,H
3925,13/01/2020,13:00,236,2.6,32,1,1.0,H
3925,13/01/2020,14:00,237,2.9,31,1.2,1.0,H
3925,13/01/2020,15:00,231,3.2,31,1.2,1.0,H
3925,13/01/2020,16:00,228,3.2,30,1.1,1.0,H
3925,13/01/2020,17:00,233,3.5,26,1.4,1.0,H
3925,13/01/2020,18:00,231,3.3,28,1.2,1.0,H
3925,13/01/2020,19:00,225,2.8,27,1.1,1.0,H
3925,13/01/2020,20:00,211,2.8,22,1,1.0,H
3925,13/01/2020,21:00,197,1.2,22,1,1.0,H
3925,13/01/2020,22:00,206,0.9,22,0.4,1.0,H
3925,13/01/2020,23:00,227,0.7,53,0.5,1.0,H
3925,14/01/2020,0:00,146,0.8,48,0.6,1.0,H
3925,14/01/2020,1:00,149,1.1,28,0.5,1.0,H
3925,14/01/2020,2:00,111,2.3,17,0.8,1.0,H
3925,14/01/2020,3:00,118,2.4,13,0.6,1.0,H
3925,14/01/2020,4:00,122,1.8,20,0.7,1.0,H
3925,14/01/2020,5:00,107,0.4,45,0.5,1.0,H
3925,14/01/2020,6:00,118,1.1,24,0.8,1.0,H
3925,14/01/2020,7:00,110,1.3,21,0.6,1.0,H
3925,14/01/2020,8:00,124,0.7,14,0.5,1.0,H
3925,14/01/2020,9:00,294,0.8,44,0.6,1.0,H
3925,14/01/2020,10:00,292,0.9,68,0.5,1.0,H
3925,14/01/2020,11:00,304,1.5,57,0.7,1.0,H
3925,14/01/2020,12:00,232,2.4,32,0.9,1.0,H
3925,14/01/2020,13:00,246,2.5,34,1,1.0,H
3925,14/01/2020,14:00,246,2.6,33,1,1.0,H
3925,14/01/2020,15:00,229,2.3,48,1.2,1.0,H
3925,14/01/2020,16:00,261,3.1,35,1.3,1.0,H
3925,14/01/2020,17:00,207,2.8,32,1.1,1.0,H
3925,14/01/2020,18:00,227,3.1,28,1.2,1.0,H
3925,14/01/2020,19:00,222,2.7,28,1.1,1.0,H
3925,14/01/2020,20:00,236,2.0,24,0.8,1.0,H
3925,14/01/2020,21:00,326,0.4,60,0.4,1.0,H
3925,14/01/2020,22:00,352,0.2,38,0.4,1.0,H
3925,14/01/2020,23:00,0,0.0,10,0.1,1.0,H
3925,15/01/2020,0:00,260,0.1,1,0.2,1.0,H
3925,15/01/2020,1:00,253,0.2,4,0.4,1.0,H
3925,15/01/2020,2:00,113,1.4,12,1,1.0,H
3925,15/01/2020,3:00,120,2.6,14,0.6,1.0,H
3925,15/01/2020,4:00,121,2.0,16,0.6,1.0,H
3925,15/01/2020,5:00,116,1.9,12,0.4,1.0,H
3925,15/01/2020,6:00,108,1.5,12,0.6,1.0,H
3925,15/01/2020,7:00,125,1.4,35,0.5,1.0,H
3925,15/01/2020,8:00,217,0.8,52,0.5,1.0,H
3925,15/01/2020,9:00,349,0.8,48,0.5,1.0,H
3925,15/01/2020,10:00,1,1.3,50,0.6,1.0,H
3925,15/01/2020,11:00,31,1.2,65,0.7,1.0,H
3925,15/01/2020,12:00,265,1.5,63,0.8,1.0,H
3925,15/01/2020,13:00,214,1.8,40,0.8,1.0,H
3925,15/01/2020,14:00,234,1.8,34,0.6,1.0,H
3925,15/01/2020,15:00,234,2.4,41,1,1.0,H
3925,15/01/2020,16:00,239,2.6,28,1.1,1.0,H
3925,15/01/2020,17:00,242,3.4,25,1.2,1.0,H
3925,15/01/2020,18:00,258,2.8,22,0.9,1.0,H
3925,15/01/2020,19:00,255,2.4,21,0.8,1.0,H
3925,15/01/2020,20:00,251,1.7,22,0.8,1.0,H
3925,15/01/2020,21:00,242,0.3,14,0.4,1.0,H
3925,15/01/2020,22:00,200,0.2,16,0.4,1.0,H
3925,15/01/2020,23:00,191,0.5,26,0.4,1.0,H
3925,16/01/2020,0:00,208,0.3,11,0.4,1.0,H
3925,16/01/2020,1:00,0,0.0,0,0.1,1.0,H
3925,16/01/2020,2:00,241,0.1,2,0.3,1.0,H
3925,16/01/2020,3:00,310,0.2,7,0.3,1.0,H
3925,16/01/2020,4:00,106,0.8,46,0.6,1.0,H
3925,16/01/2020,5:00,122,0.8,22,0.6,1.0,H
3925,16/01/2020,6:00,124,1.1,15,0.6,1.0,H
3925,16/01/2020,7:00,112,1.5,12,0.4,1.0,H
